"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Marte, Starling",516782,2023,34,0.324,0.076,0.303
"Torres, Gleyber",650402,2023,26,0.453,0.18,0.288
"Sheets, Gavin",657757,2023,27,0.331,0.128,0.222
"Madrigal, Nick",663611,2023,26,0.352,0.089,0.283
"Farmer, Kyle",571657,2023,32,0.408,0.152,0.311
"DeJong, Paul",657557,2023,29,0.355,0.148,0.264
"S?nchez, Jes?s",660821,2023,25,0.45,0.197,0.321
"Morel, Christopher",666624,2023,24,0.508,0.261,0.303
"Margot, Manuel",622534,2023,28,0.376,0.112,0.306
"Kiner-Falefa, Isiah",643396,2023,28,0.34,0.098,0.289
"Ur?as, Ram?n",602104,2023,29,0.375,0.111,0.355
"Jones, Jahmai",663330,2023,25,0.3,0.1,0.4
"Almonte, Abraham",501659,2023,34,0.133,0.066,0.143
"White, Eli",642201,2023,29,0.071,0,0.143
"Grossman, Robbie",543257,2023,33,0.394,0.156,0.292
"Castro, Willi",650489,2023,26,0.411,0.154,0.328
"Wall, Forrest",657088,2023,27,0.846,0.384,0.625
"Crow-Armstrong, Pete",691718,2023,21,0,0,0
"Bemboom, Anthony",621532,2023,33,0.182,0,0.222
"Canario, Alexander",672744,2023,23,0.647,0.353,0.5
"Bader, Harrison",664056,2023,29,0.348,0.116,0.261
"Marsh, Brandon",669016,2023,25,0.458,0.181,0.397
"Fraley, Jake",641584,2023,28,0.443,0.187,0.283
"Greene, Riley",682985,2023,22,0.447,0.159,0.384
"Kreidler, Ryan",668952,2023,25,0.111,0,0.182
"Williams, Luke",663897,2023,26,0.053,0,0.083
"Rios, Edwin",621458,2023,29,0.214,0.143,0.091
"Owings, Chris",572008,2023,31,0.16,0,0.308
"Gamel, Ben",592325,2023,31,0.267,0.067,0.231
"Capra, Vinny",681962,2023,26,0.222,0.055,0.231
"Camargo, Johan",622666,2023,29,0.222,0,0.286
"La Stella, Tommy",600303,2023,34,0.238,0.048,0.25
"Hern?ndez, Yonny",660634,2023,25,0.182,0.046,0.2
"Ellis, Drew",656403,2023,27,0.478,0.261,0.214
"Pederson, Joc",592626,2023,31,0.416,0.181,0.268
"Garlick, Kyle",664247,2023,31,0.429,0.25,0.2
"Moreno, Gabriel",672515,2023,23,0.408,0.124,0.338
"Alvarez, Francisco",682626,2023,21,0.437,0.228,0.222
"Murphy, Sean",669221,2023,28,0.478,0.227,0.286
"Witt Jr., Bobby",677951,2023,23,0.495,0.219,0.295
"Torrens, Luis",620443,2023,27,0.357,0.107,0.368
"Lawlar, Jordan",691783,2023,20,0.129,0,0.2
"Kjerstad, Heston",677008,2023,24,0.467,0.234,0.278
"Dalbec, Bobby",666915,2023,28,0.306,0.102,0.45
"Porter, Logan",682515,2023,27,0.323,0.129,0.263
"Peterson, Jace",607054,2023,33,0.307,0.096,0.27
"Dom?nguez, Jasson",691176,2023,20,0.677,0.419,0.211
"Millas, Drew",686452,2023,25,0.464,0.178,0.318
"Ortiz, Joey",687401,2023,24,0.242,0.03,0.28
"Thomas, Cody",642137,2023,28,0.381,0.143,0.375
"Cruz, Oneil",665833,2023,24,0.375,0.125,0.292
"Rutherford, Blake",666164,2023,26,0.171,0,0.24
"Blankenhorn, Travis",663905,2023,26,0.258,0.097,0.167
